origin_country,destination_country,passengers
Egypt,Finland,345
Qatar,Sweden,465
Brazil,Belgium,210
Colombia,Philippines,118
Kenya,Ireland,74
Qatar,Indonesia,156
Oman,France,166
Turkey,Jordan,315
Austria,South Korea,224
Ukraine,India,19
Kenya,Brazil,47
Australia,Israel,263
South Africa,Belgium,153
Japan,Hungary,146
Saudi Arabia,Romania,132
Sweden,Indonesia,214
Canada,Austria,242
UAE,Iraq,339
Italy,Brazil,359
Kenya,France,229
Kenya,Brazil,300
Mexico,India,374
China,Iran,215
Poland,Turkey,93
Greece,Canada,287
Qatar,Chile,81
UAE,India,175
Hungary,Iraq,414
Malaysia,Finland,433
Vietnam,Russia,161
Ghana,Brazil,182
Nigeria,Japan,96
Norway,Kenya,475
South Africa,USA,63
Ukraine,Iran,349
Israel,Norway,266
Egypt,Argentina,369
Ukraine,Norway,37
Sweden,Saudi Arabia,161
Czechia,UK,229
Norway,Vietnam,285
Greece,New Zealand,443
Nigeria,Norway,278
Turkey,Greece,15
Nigeria,France,221
Netherlands,Belgium,84
Kenya,Iraq,351
Philippines,Switzerland,123
Philippines,China,267
Israel,Kenya,265
Switzerland,USA,244
Israel,Iran,444
Vietnam,Czechia,248
Saudi Arabia,Finland,280
Austria,UAE,347
Austria,Denmark,411
Netherlands,Chile,11
Czechia,Japan,279
New Zealand,Italy,377
Nigeria,South Africa,452
Egypt,Norway,168
China,UK,302
UK,UAE,201
Italy,Sweden,256
Malaysia,Poland,278
Portugal,Qatar,450
South Africa,UK,196
South Africa,Russia,435
Turkey,Israel,497
South Korea,South Africa,232
Turkey,Russia,10
Egypt,Switzerland,417
Australia,Colombia,217
Canada,Portugal,185
Switzerland,Nigeria,438
Ireland,UAE,466
Saudi Arabia,Vietnam,331
Australia,France,77
Nigeria,Vietnam,330
USA,Jordan,264
Argentina,Germany,435
Peru,Netherlands,273
India,Vietnam,488
Denmark,South Africa,396
Portugal,South Korea,102
Egypt,Norway,52
Sweden,Denmark,118
Oman,Mexico,201
Ukraine,Netherlands,199
Russia,Israel,185
Greece,Oman,225
Singapore,Qatar,194
Jordan,Portugal,93
Romania,Oman,452
South Africa,Israel,293
Poland,Thailand,318
Germany,Austria,438
Egypt,Russia,427
Hungary,New Zealand,296
Ghana,Greece,218
Russia,Finland,441
Jordan,France,27
China,Romania,369
Egypt,Turkey,495
Iraq,Kenya,219
France,South Africa,271
Germany,New Zealand,455
Canada,China,404
Russia,Australia,419
Saudi Arabia,Vietnam,325
Kenya,India,97
UAE,Canada,371
Australia,Austria,37
Nigeria,Oman,416
Qatar,UAE,186
South Korea,China,30
Belgium,South Africa,245
Czechia,Turkey,145
Singapore,Romania,74
Oman,Canada,342
Brazil,South Korea,171
Iraq,Brazil,42
Egypt,Denmark,163
Vietnam,UAE,377
Oman,Netherlands,314
Egypt,Czechia,188
New Zealand,Czechia,141
Ukraine,Finland,296
Philippines,Mexico,66
India,South Africa,158
Australia,Ukraine,293
South Korea,Oman,462
Belgium,Vietnam,262
Poland,Philippines,79
Netherlands,Finland,375
USA,Sweden,317
India,Argentina,451
Greece,Singapore,261
Hungary,Sweden,131
Colombia,Romania,148
USA,Canada,3
Singapore,Turkey,263
Switzerland,Austria,265
China,Indonesia,321
Qatar,Oman,185
Egypt,Philippines,122
Austria,Colombia,438
UAE,Canada,459
China,Colombia,443
Russia,Sweden,204
Iraq,Oman,15
Italy,Peru,242
Ireland,South Africa,70
Germany,Portugal,72
Japan,Chile,136
Kenya,Colombia,468
New Zealand,Colombia,468
Germany,Iran,227
Singapore,Turkey,98
Finland,Ukraine,224
Hungary,Peru,21
Thailand,UK,104
Switzerland,UAE,359
Chile,Argentina,277
Canada,Singapore,389
Israel,Indonesia,356
Russia,Denmark,138
Finland,Belgium,498
Brazil,Turkey,42
Czechia,Austria,359
Australia,Romania,277
Australia,UK,346
Malaysia,Australia,477
Brazil,Thailand,318
Oman,Vietnam,278
